title,allpoints_number,price,description,specifications,oem_names_numbers
"32-1055 - HAND HOLE GASKET 5-3/8"" X 7-3/8""",32-1055,34.09,"
HAND HOLE GASKET
[ 5-3/8"" X 7-3/8"" OD. ] [RUBBER ] [ TYPE C]  [ ] BLACK  ]
[PROFILE  ] [ MOUNT]OVULAR
CLEVELAND
BOILER	BOILER HH.
STEAMER	24-CEM-48, 36-CGM-200, 36-CGM-300, 6-CGM
","


Ship Weight : 0.2 lbs.

","{'Cleveland': ['07106', '078077-3', '7106', '78077-3'], 'Garland': ['078077-3', '78077-1', '78077-3']}"
"32-1070 - GASKET 1-1/8"" D",32-1070,0.52,"
FIBER GASKET WASHER, FOR WATER FEEDER.
[ 1-1/8"" DIA. ] [FIBRE ]
MARKET FORGE BOILER 4 & 6 BURNER GAS BOILERS,
STEAM COIL BOILERS (REAR).  ST-AG (E)
DICONTINUED WATER FEEDER MAR10-4703
VULCAN BOILER
DICONTINUED WATER FEEDER VUL880033
WELLS FRYER
","


Ship Weight : 0.1 lbs.

","{'Hobart': ['00-880033-00014', '80033-14', '880033-00014', '880033-14'], 'Market Forge': ['10-4694', 'S10-4694'], 'Vulcan Hart': ['00-880033-00014', '80033-14', '880033-00014', '880033-14']}"
"32-1071 - L W C O GASKET 3-1/16"" X 3-1/16""",32-1071,2.24,"
LOW WATER CUT-OFF FLOAT ASSEMBLY GASKET.
[ 3-1/16"" X 3-1/16"" ] [RUBBERY FIBRE ] [ BLACK OR GREEN ]
[ MOUNT] 4EA 2-3/8"" MT HOLE CTRS
FOR LWCO #32-1845
FOR LOW WATER CUT-OFF FLOAT ASSEMBLY # 42-1001
CLEVELAND BOILER
MARKET FORGE STEAMER/BOILER
","


Ship Weight : 0.1 lbs.

","{'Cleveland': ['07105'], 'Market Forge': ['10-5209', 'S10-5209']}"
32-1086 - PUMP SEAL,32-1086,238.68,"
TWO PIECE PUMP SEAL, 1"" ID
BKAKESLEE DISHWASHER D-8, RP
","


Ship Weight : 0.28 lbs.

","{'Blakeslee': ['01255', '02255', 'W-2-2255']}"
32-1088 - PUMP SEAL,32-1088,54.83,"
GOULD PUMP SEAL,
STERO DISHWASHER
","


Ship Weight : 0.2 lbs.

","{'General Electric': ['349384-1', 'XND19X32'], 'Hobart': ['00-349384-00001', '00-349384-1', '349384-1'], 'Stero': ['0P-572083', 'P57-2083', 'P572083']}"
32-1089 - PUMP SEAL,32-1089,80.11,"
PUMP SEAL, 5/8"" OD
METAL BAND 1.045"" OD W/BLACK SEAL .615""ID,
WHITE CERAMIC W/ BLACK SEAL 1.257"" OD
W/WHITE CERAMIC .670"" ID
HOBART DISHWASHER AM-8
","


Ship Weight : 0.2 lbs.

",{}
32-1090 - PUMP SEAL,32-1090,409.63,"
PUMP SEAL, 1"" OD
HOBART DISHWASHER C44, (NOT C44A)
","


Ship Weight : 0.25 lbs.

","{'Hobart': ['00-104330', '00-79205', '104330', '79205']}"
32-1091 - PUMP SEAL,32-1091,132.41,"
NOW PUMP SEAL WITH CERAMIC, 5/8"" DIA.
WAS JACKSON 87500/89000
JACKSON DISHWASHER 10, 50, 100
","


Ship Weight : 0.1 lbs.

","{'Jackson': ['05330-300-09-27', '5330-300-09-27', '53303000927', '87500', '89000']}"
32-1092 - PUMP SEAL,32-1092,72.72,"
PUMP SEAL, 3/4"" SHAFT, FOR 1 HP MOTORS,
STERO DISHWASHER SDRA, SD2RA, SC-1 THRU SC-9, SYSTEMATIC
","


Ship Weight : 0.1 lbs.

","{'Stero': ['0P-151696', '0P-571696', 'P15-1696', 'P151696', 'P57-1696', 'P571696']}"
32-1093 - PUMP SEAL,32-1093,88.42,"
PUMP SEAL, 1"" SHAFT, MOTORS: 1-1/2, 2, 3, HP.
BETWEEN IMPELLER & PUMP MOTOR.
STERO DISHWASHER 368, 370, SC- 1 THRU SC-9, SCT,
STW, SYSTEMATIC, UTENSIL.
","


Ship Weight : 0.25 lbs.

","{'Stero': ['0P-151697', '0P-571697', 'P15-1697', 'P151697', 'P57-1697', 'P571697']}"
